"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\GitHub\artdatabanken\src\pages\ImageView\FilterAndSortForm.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 8, 45
"c:\GitHub\artdatabanken\src\pages\ImageView\ImageGrid.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 4, 29
"c:\GitHub\artdatabanken\src\pages\ImageView\ImageView.module.css", "CSS", 0, 22, 0, 0, 0, 5, 27
"c:\GitHub\artdatabanken\src\pages\ImageView\ImageView.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 7, 45
"c:\GitHub\artdatabanken\src\pages\Page.module.css", "CSS", 0, 11, 0, 0, 0, 3, 14
"c:\GitHub\artdatabanken\src\pages\Page.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 4, 39
"c:\GitHub\artdatabanken\src\pages\Settings\Settings.module.css", "CSS", 0, 16, 0, 0, 7, 4, 27
"c:\GitHub\artdatabanken\src\pages\Settings\Settings.tsx", "TypeScript JSX", 0, 0, 149, 0, 0, 14, 163
"c:\GitHub\artdatabanken\src\pages\Settings\createImageBundle.ts", "TypeScript", 38, 0, 0, 0, 0, 8, 46
"c:\GitHub\artdatabanken\src\pages\Settings\exportDatabase.ts", "TypeScript", 25, 0, 0, 0, 2, 7, 34
"c:\GitHub\artdatabanken\src\pages\Settings\importImages.ts", "TypeScript", 24, 0, 0, 0, 0, 5, 29
"c:\GitHub\artdatabanken\src\pages\Settings\importSpeciesBundle.ts", "TypeScript", 34, 0, 0, 0, 0, 7, 41
"c:\GitHub\artdatabanken\src\pages\Settings\mergeChangesIntoBundle.ts", "TypeScript", 13, 0, 0, 0, 4, 7, 24
"c:\GitHub\artdatabanken\src\pages\Settings\readUploadedFileAsText.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"c:\GitHub\artdatabanken\src\pages\SpeciesView\Filters.tsx", "TypeScript JSX", 0, 0, 83, 0, 2, 18, 103
"c:\GitHub\artdatabanken\src\pages\SpeciesView\SpeciesView.module.css", "CSS", 0, 7, 0, 0, 0, 2, 9
"c:\GitHub\artdatabanken\src\pages\SpeciesView\SpeciesView.tsx", "TypeScript JSX", 0, 0, 110, 0, 0, 14, 124
"c:\GitHub\artdatabanken\src\pages\index.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\GitHub\artdatabanken\src\state\customStorage.ts", "TypeScript", 32, 0, 0, 0, 0, 4, 36
"c:\GitHub\artdatabanken\src\state\fetchGlobalState.ts", "TypeScript", 19, 0, 0, 0, 2, 7, 28
"c:\GitHub\artdatabanken\src\state\index.ts", "TypeScript", 69, 0, 0, 0, 8, 11, 88
"c:\GitHub\artdatabanken\src\vite-env.d.ts", "TypeScript", 26, 0, 0, 0, 1, 5, 32
"Total", "-", 2493, 240, 1460, 3, 78, 426, 4700
