Klass;Ordning;Familj;Art;Kön;Latinskt namn;Lokal;Län;Datum;Bild;Kommentar;
Fåglar;Doppingar;Doppingar;;;;;;;;;
Fåglar;Doppingar;Doppingar;;;;;;;;;
Fåglar;Tran-och rallfåglar;Rallar;Sothöna;;Fulica atra;Råstasjön;Uppland;2009-05-15;image074.jpg;;
;Tran-och rallfåglar;Rallar;;;;;;;;;
;Tran-och rallfåglar;Rallar;;;;;;;;;
;Tran-och rallfåglar;Rallar;;;;;;;;;
;Tran-och rallfåglar;Rallar;;;;;;;;;
Fåglar;Hönsfåglar;Fälthöns;Fasan;hane;Phasianus colchicus;Grankullavik;Öland;2009-05-20;image088.jpg;;
;Hönsfåglar;Fälthöns;;;;;;;;;
;Hönsfåglar;Fälthöns;;;;;;;;;
;Hönsfåglar;Fälthöns;;;;;;;;;
Fåglar;Vadarfåglar;Alkor;Sillgrissla;;Uria aalge;Stora Karlsö;Gotland;2011-05-28;image076.jpg;;
;Vadarfåglar;Alkor;Tordmule;;Alca torda;Stora Karlsö;Gotland;2011-05-28;image075.jpg;;
;Vadarfåglar;Alkor;;;;;;;;;
Fåglar;Vadarfåglar;Måsar;Skrattmås;;Larus ridibundus;Visingsö;Småland;2011-06-27;image077.jpg;;
;Vadarfåglar;Måsar;Havstrut;;Larus marinus;Knisa;Öland;2018-05-23;image302.jpg;;
;Vadarfåglar;Måsar;Silltrut;;Larus fuscus;Djurgården;Uppland;2018-09-03;image428.jpg;;
;Vadarfåglar;Måsar;Fiskmås;;Larus canus;Nyckelviken;Sörmland;2020-05-08;image510.jpg;;
;Vadarfåglar;Måsar;;;;;;;;;
;Vadarfåglar;Måsar;;;;;;;;;
;Vadarfåglar;Måsar;;;;;;;;;
;Vadarfåglar;Måsar;;;;;;;;;
Fåglar;Vadarfåglar;Tärnor;Silvertärna;;Sterna paradisaea;Stora Karlsö;Gotland;2011-05-28;image078.jpg;;
;Vadarfåglar;Tärnor;Fisktärna;;Sterna hirundo;Oresjön;Dalarna;2013-06-01;image090.jpg;;
;Vadarfåglar;Tärnor;;;;;;;;;
;Vadarfåglar;Tärnor;;;;;;;;;
;Vadarfåglar;Tärnor;;;;;;;;;
;Vadarfåglar;Tärnor;;;;;;;;;
Fåglar;Vadarfåglar;Strandskator;Strandskata;;Haematopus ostralegus;Visby;Gotland;2008-06-14;image080.jpg;;
Fåglar;Vadarfåglar;Snäppor;Roskarl;;Arenaria interpres;Stora Karlsö;Gotland;2011-05-28;image081.jpg;;
;Vadarfåglar;Snäppor;;;;;;;;;
;Vadarfåglar;Snäppor;;;;;;;;;
;Vadarfåglar;Snäppor;;;;;;;;;
;Vadarfåglar;Snäppor;;;;;;;;;
;Vadarfåglar;Snäppor;;;;;;;;;
;Vadarfåglar;Snäppor;;;;;;;;;
;Vadarfåglar;Snäppor;;;;;;;;;
;Vadarfåglar;Snäppor;;;;;;;;;
Fåglar;Rovfåglar;Hökartade rovfåglar;Ormvråk;;Bueto bueto;Nybrostrand;Skåne;2014-07-04;image085.jpg;;
;Rovfåglar;Hökartade rovfåglar;Glada;;Milvus milvus;Ullstorp;Skåne;2014-07-02;image097.jpg;;
;Rovfåglar;Hökartade rovfåglar;;;;;;;;;
;Rovfåglar;Hökartade rovfåglar;;;;;;;;;
;Rovfåglar;Hökartade rovfåglar;;;;;;;;;
;Rovfåglar;Hökartade rovfåglar;;;;;;;;;
;Rovfåglar;Hökartade rovfåglar;;;;;;;;;
;Rovfåglar;Hökartade rovfåglar;;;;;;;;;
;Rovfåglar;Hökartade rovfåglar;;;;;;;;;
Fåglar;Rovfåglar;Falkar;Tornfalk;;Falco tinnunculus;Trollskogen;Öland;2017-08-05;image395.jpg;;
;Rovfåglar;Falkar;;;;;;;;;
;Rovfåglar;Falkar;;;;;;;;;
;Rovfåglar;Falkar;;;;;;;;;
;Rovfåglar;Falkar;;;;;;;;;
;Rovfåglar;Falkar;;;;;;;;;
Fåglar;Ugglefåglar;Ugglor;Hökuggla;;Surnia ulula;Bjuröklubb;Västebotten;2012-05-08;image092.jpg;;
;Ugglefåglar;Ugglor;;;;;;;;;
;Ugglefåglar;Ugglor;;;;;;;;;
;Ugglefåglar;Ugglor;;;;;;;;;
;Ugglefåglar;Ugglor;;;;;;;;;
;Ugglefåglar;Ugglor;;;;;;;;;
;Ugglefåglar;Ugglor;;;;;;;;;
;Ugglefåglar;Ugglor;;;;;;;;;
;Ugglefåglar;Ugglor;;;;;;;;;
Fåglar;Duvfåglar;Duvor;Ringduva;;Columba palumbus;Råstasjön;Uppland;2009-05-15;image084.jpg;;
;Duvfåglar;Duvor;;;;;;;;;
;Duvfåglar;Duvor;;;;;;;;;
;Duvfåglar;Duvor;;;;;;;;;
;Duvfåglar;Duvor;;;;;;;;;
Fåglar;Hackspettartade fåglar;Hackspettar;Gröngöling;hona;Picus viridis;Källhagen;Sörmland;2013-07-12;image091.jpg;;
;Hackspettartade fåglar;Hackspettar;;;;;;;;;
;Hackspettartade fåglar;Hackspettar;;;;;;;;;
;Hackspettartade fåglar;Hackspettar;;;;;;;;;
;Hackspettartade fåglar;Hackspettar;;;;;;;;;
;Hackspettartade fåglar;Hackspettar;;;;;;;;;
;Hackspettartade fåglar;Hackspettar;;;;;;;;;
;Hackspettartade fåglar;Hackspettar;;;;;;;;;
Fräkenartade växter;;Fräkenväxter;Skogsfräken;;Equisetum sylvaticum;Källhagen;Sörmland;2017-06-14;image470.jpg;;
;;Fräkenväxter;Kärrfräken;;Equisetum palustre;Knisa mosse;Öland;2018-05-23;image472.jpg;;
;;Fräkenväxter;;;;;;;;;
;;Fräkenväxter;;;;;;;;;
Ormbunksartade växter;;Ormbunkar;Örnbräken;;Pteridium aquilinum;Källhagen;Sörmland;2017-06-14;image423.jpg;;
;;Ormbunkar;Stensöta;;Polypodium vulgare;Velambsund;Sörmland;2018-08-22;image436.jpg;;
;;Ormbunkar;Träjon;;Dryopteris filix-mas;Nyckelviken;Sörmland;2023-07-20;image532.jpg;;
;;Ormbunkar;Lundbräken;;Dryopteris dilatata;Trollskogen;Öland;2017-08-05;image492.jpg;;
Fröväxter;Nakenfröiga;Barrväxter;Tall;;Pinus sylvestris;Järvafältet;Uppland;2018-05-10;image403.jpg;;
;Nakenfröiga;Barrväxter;Gran;;Picea abies;Källhagen;Sörmland;2018-09-08;image487.jpg;;
;Nakenfröiga;Barrväxter;En;;Juniperus communis;Högenäs orde;Öland;2017-08-03;image402.jpg;;
;Nakenfröiga;Barrväxter;Lärk;;Larix decidua;Kocktorp;Sörmland;2018-07-08;image404.jpg;;
;Nakenfröiga;Barrväxter;Idegran;;Taxus baccata;;;;;;
Fröväxter;Gömfröiga;Lövträd;Oxel;;Sorbus intermedia;Högenäs orde;Öland;2017-08-03;image409.jpg;;
;Gömfröiga;Lövträd;Rönn;;Sorbus aucuparia;Furudal;Dalarna;2017-09-01;image410.jpg;;
;Gömfröiga;Lövträd;Hägg;;Prunus padus;Källahamn;Öland;2018-05-21;image411.jpg;;
;Gömfröiga;Lövträd;Fågelbär;;Prunus avium;;;;;;
Fröväxter;Gömfröiga;Lövträd;Vildapel;;Malus sylvestris;;;;;;
Fröväxter;Gömfröiga;Lövträd;Alm;;Ulmus glabra;;;;;;
Fröväxter;Gömfröiga;Lövträd;Bok;;Fagus sylvatica;;;;;;
;Gömfröiga;Lövträd;Ek;;Quercus robus;Böda;Öland;2017-07-25;image406.jpg;;
