"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\GitHub\artdatabanken\src\App.tsx", "TypeScript JSX", 0, -13, 0, 14, -1, 0
"c:\GitHub\artdatabanken\src\components\TableHeader.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, -1
"c:\GitHub\artdatabanken\src\dialogs\DeleteImageDialog.tsx", "TypeScript JSX", 0, -5, 0, 2, 1, -2
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.module.css", "CSS", 0, 0, -6, 0, -1, -7
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.tsx", "TypeScript JSX", 0, -21, 0, 3, -3, -21
"c:\GitHub\artdatabanken\src\dialogs\UploadImageDialog.tsx", "TypeScript JSX", 0, -156, 0, -2, -27, -185
"c:\GitHub\artdatabanken\src\dialogs\UploadImageDialog\UploadImageDialog.tsx", "TypeScript JSX", 0, 156, 0, 2, 27, 185
"c:\GitHub\artdatabanken\src\dialogs\UploadImageDialog\drawImageOnCanvas.ts", "TypeScript", 30, 0, 0, 0, 5, 35
"c:\GitHub\artdatabanken\src\dialogs\UploadImageDialog\useDebounceEffect.ts", "TypeScript", 11, 0, 0, 1, 3, 15
"c:\GitHub\artdatabanken\src\dialogs\fields\HorizontalInput.tsx", "TypeScript JSX", 0, 34, 0, 0, 3, 37
"c:\GitHub\artdatabanken\src\dialogs\fields\Input.tsx", "TypeScript JSX", 0, 26, 0, 0, 3, 29
"c:\GitHub\artdatabanken\src\dialogs\fields\Select.tsx", "TypeScript JSX", 0, 29, 0, 0, 3, 32
"c:\GitHub\artdatabanken\src\dialogs\fields\fields.module.css", "CSS", 0, 0, 6, 0, 1, 7
"c:\GitHub\artdatabanken\src\dialogs\fields\index.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"c:\GitHub\artdatabanken\src\lib\canvas.ts", "TypeScript", -30, 0, 0, 0, -5, -35
"c:\GitHub\artdatabanken\src\lib\compareFunction.ts", "TypeScript", 30, 0, 0, 3, 10, 43
"c:\GitHub\artdatabanken\src\lib\firebase.ts", "TypeScript", 9, 0, 0, 12, 4, 25
"c:\GitHub\artdatabanken\src\lib\index.ts", "TypeScript", 4, 0, 0, 0, 3, 7
"c:\GitHub\artdatabanken\src\lib\index.tsx", "TypeScript JSX", 0, -16, 0, -1, -7, -24
"c:\GitHub\artdatabanken\src\lib\state.ts", "TypeScript", 14, 0, 0, -1, 6, 19
"c:\GitHub\artdatabanken\src\lib\useDebounceEffect.ts", "TypeScript", -11, 0, 0, 0, -3, -14
"c:\GitHub\artdatabanken\src\pages\Collections\A4Page.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, -1
"c:\GitHub\artdatabanken\src\pages\ImageView.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\GitHub\artdatabanken\src\pages\Settings\CreateImageBundle.tsx", "TypeScript JSX", 0, 42, 0, 0, 8, 50
"c:\GitHub\artdatabanken\src\pages\Settings\ExportDatabase.tsx", "TypeScript JSX", 0, 58, 0, 2, 11, 71
"c:\GitHub\artdatabanken\src\pages\Settings\ImportImages.tsx", "TypeScript JSX", 0, 82, 0, 0, 8, 90
"c:\GitHub\artdatabanken\src\pages\Settings\ImportImagesToFirebase.tsx", "TypeScript JSX", 0, -66, 0, -2, -14, -82
"c:\GitHub\artdatabanken\src\pages\Settings\ImportSpeciesBundle.tsx", "TypeScript JSX", 0, 66, 0, 1, 12, 79
"c:\GitHub\artdatabanken\src\pages\Settings\ImportSpeciesToFirebase.tsx", "TypeScript JSX", 0, -63, 0, -1, -12, -76
"c:\GitHub\artdatabanken\src\pages\Settings\MergeChangesIntoBundle.tsx", "TypeScript JSX", 0, 40, 0, 4, 9, 53
"c:\GitHub\artdatabanken\src\pages\Settings\Settings.module.css", "CSS", 0, 0, 12, 0, 1, 13
"c:\GitHub\artdatabanken\src\pages\Settings\Settings.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 17
"c:\GitHub\artdatabanken\src\pages\Settings\index.ts", "TypeScript", -4, 0, 0, 0, 0, -4
"c:\GitHub\artdatabanken\src\pages\SpeciesView\SpeciesView.tsx", "TypeScript JSX", 0, 2, 0, 0, -2, 0
"Total", "-", 57, 211, 12, 36, 46, 362
